Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_17,VSS,Metal1,14.4000,68.0400,0.000101
FILLER_13_0,VSS,Metal1,6.2400,68.0400,0.000105
FILLER_12_209,VSS,Metal1,106.5600,60.4800,0.001132
FILLER_12_194,VSS,Metal1,99.1200,60.4800,0.000172
FILLER_12_174,VSS,Metal1,89.5200,60.4800,0.000308
FILLER_12_167,VSS,Metal1,87.6060,60.9400,0.000339
FILLER_12_159,VSS,Metal1,83.0280,60.8560,0.000431
FILLER_12_152,VSS,Metal1,79.6680,60.8560,0.000487
FILLER_12_145,VSS,Metal1,77.0460,60.9400,0.000585
FILLER_12_116,VSS,Metal1,61.9200,60.4800,0.000611
FILLER_12_111,VSS,Metal1,59.5200,60.4800,0.000616
FILLER_12_100,VSS,Metal1,54.0000,60.4800,0.000620
FILLER_12_84,VSS,Metal1,46.5600,60.4800,0.000612
FILLER_12_80,VSS,Metal1,45.1080,60.8560,0.000612
FILLER_12_60,VSS,Metal1,36.2460,60.9400,0.000339
FILLER_12_47,VSS,Metal1,28.5600,60.4800,0.000137
FILLER_12_35,VSS,Metal1,23.0400,60.4800,0.000100
FILLER_12_31,VSS,Metal1,21.5880,60.8560,0.000101
FILLER_12_24,VSS,Metal1,18.9660,60.9400,0.000103
FILLER_12_17,VSS,Metal1,15.6060,60.9400,0.000106
FILLER_11_245,VSS,Metal1,123.8400,60.4800,0.001397
FILLER_11_196,VSS,Metal1,100.7880,60.1030,0.000091
FILLER_11_165,VSS,Metal1,86.6460,60.0190,0.000339
FILLER_11_151,VSS,Metal1,78.4800,60.4800,0.000585
FILLER_11_149,VSS,Metal1,77.7600,60.4800,0.000585
FILLER_11_142,VSS,Metal1,75.6060,60.0190,0.000587
FILLER_11_135,VSS,Metal1,72.2460,60.0190,0.000587
FILLER_11_125,VSS,Metal1,66.0000,60.4800,0.000587
FILLER_11_121,VSS,Metal1,64.7880,60.1030,0.000587
FILLER_11_114,VSS,Metal1,62.1660,60.0190,0.000611
FILLER_11_107,VSS,Metal1,58.8060,60.0190,0.000616
FILLER_11_92,VSS,Metal1,50.4000,60.4800,0.000618
FILLER_11_88,VSS,Metal1,48.9480,60.1030,0.000615
FILLER_11_69,VSS,Metal1,39.3600,60.4800,0.000339
FILLER_11_65,VSS,Metal1,37.9080,60.1030,0.000339
FILLER_11_55,VSS,Metal1,33.8460,60.0190,0.000339
FILLER_11_48,VSS,Metal1,30.4860,60.0190,0.000296
FILLER_11_35,VSS,Metal1,23.0400,60.4800,0.000100
FILLER_11_22,VSS,Metal1,16.5600,60.4800,0.000106
FILLER_10_218,VSS,Metal1,110.8800,52.9200,0.000875
FILLER_10_203,VSS,Metal1,103.6800,52.9200,0.000721
FILLER_10_198,VSS,Metal1,101.0400,52.9200,0.000104
FILLER_10_196,VSS,Metal1,100.3200,52.9200,0.000113
FILLER_10_122,VSS,Metal1,64.5600,52.9200,0.000540
FILLER_10_120,VSS,Metal1,63.8400,52.9200,0.000540
FILLER_10_113,VSS,Metal1,61.6860,53.3800,0.000532
FILLER_10_108,VSS,Metal1,57.8400,52.9200,0.000517
FILLER_10_101,VSS,Metal1,55.9260,53.3800,0.000402
FILLER_10_94,VSS,Metal1,52.5660,53.3800,0.000401
FILLER_10_87,VSS,Metal1,49.2060,53.3800,0.000401
FILLER_10_80,VSS,Metal1,45.8460,53.3800,0.000400
FILLER_10_73,VSS,Metal1,42.4860,53.3800,0.000399
