Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_15_201,VDD,Metal1,102.4800,71.8200,1.199704
FILLER_15_199,VDD,Metal1,101.7600,71.8200,1.199708
FILLER_15_151,VDD,Metal1,78.4800,71.8200,1.199505
FILLER_15_116,VDD,Metal1,61.6800,71.8200,1.199400
FILLER_15_114,VDD,Metal1,60.9600,71.8200,1.199400
FILLER_15_103,VDD,Metal1,55.6800,71.8200,1.199400
FILLER_15_96,VDD,Metal1,53.5290,72.4180,1.199400
FILLER_15_89,VDD,Metal1,50.1690,72.4180,1.199399
FILLER_15_79,VDD,Metal1,44.1600,71.8200,1.199762
FILLER_15_75,VDD,Metal1,42.7310,72.4160,1.199762
FILLER_15_68,VDD,Metal1,40.0890,72.4180,1.199778
FILLER_15_61,VDD,Metal1,36.7290,72.4180,1.199779
FILLER_15_52,VDD,Metal1,30.9600,71.8200,1.199784
FILLER_15_38,VDD,Metal1,24.4800,71.8200,1.199922
FILLER_15_31,VDD,Metal1,21.1200,71.8200,1.199955
FILLER_15_26,VDD,Metal1,18.4800,71.8200,1.199966
FILLER_15_22,VDD,Metal1,17.2910,72.4160,1.199982
FILLER_15_8,VDD,Metal1,9.8400,71.8200,1.199883
FILLER_14_191,VDD,Metal1,98.4110,71.2230,1.199828
FILLER_14_163,VDD,Metal1,84.2400,71.8200,1.199830
FILLER_14_161,VDD,Metal1,83.5200,71.8200,1.199830
FILLER_14_121,VDD,Metal1,64.3200,71.8200,1.199438
FILLER_14_86,VDD,Metal1,47.2800,71.8200,1.199397
FILLER_14_82,VDD,Metal1,46.0910,71.2230,1.199402
FILLER_14_75,VDD,Metal1,43.4490,71.2210,1.199762
FILLER_14_68,VDD,Metal1,40.0890,71.2210,1.199778
FILLER_14_61,VDD,Metal1,36.7290,71.2210,1.199779
FILLER_14_54,VDD,Metal1,33.3690,71.2210,1.199780
FILLER_14_43,VDD,Metal1,28.0890,71.2210,1.199786
FILLER_14_33,VDD,Metal1,22.0800,71.8200,1.199923
FILLER_14_29,VDD,Metal1,20.6510,71.2230,1.199955
FILLER_14_22,VDD,Metal1,18.0090,71.2210,1.199982
FILLER_13_245,VDD,Metal1,123.8400,64.2600,1.199093
FILLER_13_181,VDD,Metal1,93.6110,64.8560,1.199755
FILLER_13_150,VDD,Metal1,78.0000,64.2600,1.199393
FILLER_13_143,VDD,Metal1,76.0890,64.8580,1.199386
FILLER_13_136,VDD,Metal1,72.7290,64.8580,1.199308
FILLER_13_130,VDD,Metal1,68.4000,64.2600,1.199308
FILLER_13_128,VDD,Metal1,67.6800,64.2600,1.199308
FILLER_13_121,VDD,Metal1,65.5290,64.8580,1.199308
FILLER_13_114,VDD,Metal1,62.1690,64.8580,1.199303
FILLER_13_103,VDD,Metal1,55.6800,64.2600,1.199284
FILLER_13_99,VDD,Metal1,54.2510,64.8560,1.199284
FILLER_13_92,VDD,Metal1,51.6090,64.8580,1.199282
FILLER_13_74,VDD,Metal1,41.5200,64.2600,1.199726
FILLER_13_72,VDD,Metal1,40.8000,64.2600,1.199726
FILLER_13_65,VDD,Metal1,38.6490,64.8580,1.199742
FILLER_13_51,VDD,Metal1,30.4800,64.2600,1.199766
FILLER_13_47,VDD,Metal1,29.2910,64.8560,1.199766
FILLER_13_29,VDD,Metal1,20.1600,64.2600,1.199961
FILLER_13_25,VDD,Metal1,18.7310,64.8560,1.199961
FILLER_13_19,VDD,Metal1,15.1200,64.2600,1.199957
FILLER_13_17,VDD,Metal1,14.4000,64.2600,1.199957
FILLER_13_0,VDD,Metal1,6.2400,64.2600,1.199933
FILLER_12_209,VDD,Metal1,106.5600,64.2600,1.199869
FILLER_12_194,VDD,Metal1,99.1200,64.2600,1.199868
FILLER_12_174,VDD,Metal1,89.5200,64.2600,1.199751
FILLER_12_167,VDD,Metal1,87.6090,63.6610,1.199751
FILLER_12_159,VDD,Metal1,83.0510,63.6630,1.199751
FILLER_12_152,VDD,Metal1,79.6910,63.6630,1.199397
FILLER_12_145,VDD,Metal1,77.0490,63.6610,1.199397
FILLER_12_116,VDD,Metal1,61.9200,64.2600,1.199303
FILLER_12_111,VDD,Metal1,59.5200,64.2600,1.199292
FILLER_12_100,VDD,Metal1,54.0000,64.2600,1.199284
FILLER_12_84,VDD,Metal1,46.5600,64.2600,1.199293
FILLER_12_80,VDD,Metal1,45.1310,63.6630,1.199293
FILLER_12_60,VDD,Metal1,36.2490,63.6610,1.199746
FILLER_12_47,VDD,Metal1,28.5600,64.2600,1.199766
FILLER_12_35,VDD,Metal1,23.0400,64.2600,1.199847
FILLER_12_31,VDD,Metal1,21.6110,63.6630,1.199939
FILLER_12_24,VDD,Metal1,18.9690,63.6610,1.199961
FILLER_12_17,VDD,Metal1,15.6090,63.6610,1.199957
FILLER_11_245,VDD,Metal1,123.8400,56.7000,1.198949
FILLER_11_196,VDD,Metal1,100.8110,57.2960,1.199566
FILLER_11_165,VDD,Metal1,86.6490,57.2980,1.199886
FILLER_11_151,VDD,Metal1,78.4800,56.7000,1.199227
FILLER_11_149,VDD,Metal1,77.7600,56.7000,1.199227
FILLER_11_142,VDD,Metal1,75.6090,57.2980,1.199227
FILLER_11_135,VDD,Metal1,72.2490,57.2980,1.199227
FILLER_11_125,VDD,Metal1,66.0000,56.7000,1.199227
FILLER_11_121,VDD,Metal1,64.8110,57.2960,1.199227
FILLER_11_114,VDD,Metal1,62.1690,57.2980,1.199225
FILLER_11_107,VDD,Metal1,58.8090,57.2980,1.199224
FILLER_11_92,VDD,Metal1,50.4000,56.7000,1.199233
FILLER_11_88,VDD,Metal1,48.9710,57.2960,1.199233
FILLER_11_69,VDD,Metal1,39.3600,56.7000,1.199320
FILLER_11_65,VDD,Metal1,37.9310,57.2960,1.199359
FILLER_11_55,VDD,Metal1,33.8490,57.2980,1.199383
FILLER_11_48,VDD,Metal1,30.4890,57.2980,1.199869
FILLER_11_35,VDD,Metal1,23.0400,56.7000,1.199966
FILLER_11_22,VDD,Metal1,16.5600,56.7000,1.199965
FILLER_10_218,VDD,Metal1,110.8800,56.7000,1.199032
FILLER_10_203,VDD,Metal1,103.6800,56.7000,1.199446
FILLER_10_198,VDD,Metal1,101.0400,56.7000,1.199566
FILLER_10_196,VDD,Metal1,100.3200,56.7000,1.199566
FILLER_10_122,VDD,Metal1,64.5600,56.7000,1.199227
FILLER_10_120,VDD,Metal1,63.8400,56.7000,1.199225
FILLER_10_113,VDD,Metal1,61.6890,56.1010,1.199224
FILLER_10_108,VDD,Metal1,57.8400,56.7000,1.199224
FILLER_10_101,VDD,Metal1,55.9290,56.1010,1.199224
FILLER_10_94,VDD,Metal1,52.5690,56.1010,1.199227
FILLER_10_87,VDD,Metal1,49.2090,56.1010,1.199233
FILLER_10_80,VDD,Metal1,45.8490,56.1010,1.199259
FILLER_10_73,VDD,Metal1,42.4890,56.1010,1.199308
